team1,team2,venue,toss_winner,toss_decision,winner,date
Rwanda,Nigeria,Gahanga International Cricket Stadium. Rwanda,Nigeria,field,Rwanda,2021-06-09
Kenya,Rwanda,Gahanga International Cricket Stadium. Rwanda,Kenya,bat,Kenya,2021-06-10
Botswana,Nigeria,Gahanga International Cricket Stadium. Rwanda,Nigeria,field,Nigeria,2021-06-10
Namibia,Nigeria,Gahanga International Cricket Stadium. Rwanda,Namibia,bat,Namibia,2021-06-11
Kenya,Rwanda,Gahanga International Cricket Stadium. Rwanda,Kenya,bat,Kenya,2021-06-11
Rwanda,Nigeria,Gahanga International Cricket Stadium. Rwanda,Rwanda,bat,Rwanda,2021-06-12
Namibia,Kenya,Gahanga International Cricket Stadium. Rwanda,Namibia,bat,Kenya,2021-06-12
Sri Lanka,England,"Sophia Gardens, Cardiff",Sri Lanka,bat,England,2021-06-23
Greece,Romania,"National Sports Academy, Sofia",Greece,bat,Romania,2021-06-24
Sri Lanka,England,"Sophia Gardens, Cardiff",Sri Lanka,bat,England,2021-06-24
Serbia,Greece,"National Sports Academy, Sofia",Greece,field,Greece,2021-06-25
Bulgaria,Romania,"National Sports Academy, Sofia",Bulgaria,bat,Romania,2021-06-25
Romania,Serbia,"National Sports Academy, Sofia",Romania,bat,Romania,2021-06-25
South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",West Indies,field,West Indies,2021-06-26
England,Sri Lanka,"The Rose Bowl, Southampton",Sri Lanka,field,England,2021-06-26
Serbia,Romania,"National Sports Academy, Sofia",Serbia,bat,Romania,2021-06-26
South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",West Indies,field,South Africa,2021-06-27
South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",West Indies,field,South Africa,2021-06-29
West Indies,Pakistan,"Sir Vivian Richards Stadium, North Sound, Antigua",Pakistan,field,West Indies,2021-06-30
West Indies,South Africa,"National Cricket Stadium, St George's, Grenada",South Africa,field,West Indies,2021-07-01
West Indies,Pakistan,"Coolidge Cricket Ground, Antigua",West Indies,bat,West Indies,2021-07-02
South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",South Africa,bat,South Africa,2021-07-03
Pakistan,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",Pakistan,bat,West Indies,2021-07-04
France,Germany,Bayer Uerdingen Cricket Ground,Germany,field,Germany,2021-07-08
Malta,Belgium,Marsa Sports Club,Malta,bat,Belgium,2021-07-08
Belgium,Malta,Marsa Sports Club,Belgium,bat,Malta,2021-07-08
France,Germany,Bayer Uerdingen Cricket Ground,Germany,field,Germany,2021-07-08
West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,field,West Indies,2021-07-09
Germany,France,Bayer Uerdingen Cricket Ground,Germany,bat,Germany,2021-07-09
England,India,"County Ground, Northampton",India,field,England,2021-07-09
Malta,Belgium,Marsa Sports Club,Belgium,field,Belgium,2021-07-09
West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,field,West Indies,2021-07-10
Belgium,Malta,Marsa Sports Club,Belgium,bat,Belgium,2021-07-10
Belgium,Malta,Marsa Sports Club,Belgium,bat,Malta,2021-07-10
India,England,"County Ground, Hove",England,field,India,2021-07-11
Australia,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,bat,West Indies,2021-07-12
Australia,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,bat,Australia,2021-07-14
India,England,"County Ground, Chelmsford",India,bat,England,2021-07-14
Pakistan,England,"Trent Bridge, Nottingham",England,field,Pakistan,2021-07-16
West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies,bat,West Indies,2021-07-16
England,Pakistan,"Headingley, Leeds",Pakistan,field,England,2021-07-18
South Africa,Ireland,"The Village, Malahide, Dublin",Ireland,field,South Africa,2021-07-19
Pakistan,England,"Old Trafford, Manchester",Pakistan,bat,England,2021-07-20
Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat,Bangladesh,2021-07-22
South Africa,Ireland,"Civil Service Cricket Club, Stormont, Belfast",South Africa,bat,South Africa,2021-07-22
Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat,Zimbabwe,2021-07-23
South Africa,Ireland,"Civil Service Cricket Club, Stormont, Belfast",South Africa,bat,South Africa,2021-07-24
India,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,field,India,2021-07-25
Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat,Bangladesh,2021-07-25
Ireland,Netherlands,"The Village, Malahide, Dublin",Netherlands,field,Ireland,2021-07-26
India,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,field,Sri Lanka,2021-07-28
Netherlands,Ireland,"The Village, Malahide, Dublin",Netherlands,bat,Ireland,2021-07-29
India,Sri Lanka,"R Premadasa Stadium, Colombo",India,bat,Sri Lanka,2021-07-29
Ireland,Netherlands,"The Village, Malahide, Dublin",Netherlands,field,Netherlands,2021-07-30
Pakistan,West Indies,"Providence Stadium, Guyana",West Indies,field,Pakistan,2021-07-31
Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Australia,field,Bangladesh,2021-08-03
Australia,Bangladesh,"Shere Bangla National Stadium, Mirpur",Australia,bat,Bangladesh,2021-08-04
Norway,France,Bayer Uerdingen Cricket Ground,France,field,France,2021-08-05
Norway,Germany,Bayer Uerdingen Cricket Ground,Germany,field,Germany,2021-08-05
France,Germany,Bayer Uerdingen Cricket Ground,Germany,field,Germany,2021-08-06
Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh,2021-08-06
Norway,France,Bayer Uerdingen Cricket Ground,France,field,Norway,2021-08-07
Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Australia,2021-08-07
Germany,France,Bayer Uerdingen Cricket Ground,France,field,Germany,2021-08-07
Norway,Germany,Bayer Uerdingen Cricket Ground,Germany,field,Norway,2021-08-08
Norway,Germany,Bayer Uerdingen Cricket Ground,Norway,bat,Germany,2021-08-08
Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh,2021-08-09
Denmark,Sweden,"Svanholm Park, Brondby",Sweden,field,Sweden,2021-08-14
Sweden,Denmark,"Svanholm Park, Brondby",Denmark,field,Denmark,2021-08-15
Ghana,Rwanda,Gahanga International Cricket Stadium. Rwanda,Ghana,bat,Rwanda,2021-08-18
Rwanda,Ghana,Gahanga International Cricket Stadium. Rwanda,Ghana,field,Rwanda,2021-08-20
Ghana,Rwanda,Gahanga International Cricket Stadium. Rwanda,Ghana,bat,Ghana,2021-08-20
Gibraltar,Malta,Gucherre Cricket Ground,Malta,field,Malta,2021-08-20
Sweden,Finland,Kerava National Cricket Ground,Sweden,bat,Finland,2021-08-21
Sweden,Finland,Kerava National Cricket Ground,Sweden,bat,Finland,2021-08-21
Malta,Gibraltar,Gucherre Cricket Ground,Gibraltar,field,Malta,2021-08-21
Rwanda,Ghana,Gahanga International Cricket Stadium. Rwanda,Rwanda,bat,Ghana,2021-08-21
Portugal,Gibraltar,Gucherre Cricket Ground,Gibraltar,field,Portugal,2021-08-22
Finland,Sweden,Kerava National Cricket Ground,Sweden,field,Sweden,2021-08-22
Finland,Sweden,Kerava National Cricket Ground,Sweden,field,Sweden,2021-08-22
Netherlands,Scotland,La Manga Club Top Ground,Scotland,field,Scotland,2021-08-26
Ireland,Germany,La Manga Club Bottom Ground,Germany,field,Ireland,2021-08-26
France,Netherlands,La Manga Club Top Ground,France,bat,Netherlands,2021-08-26
Ireland,Scotland,La Manga Club Top Ground,Ireland,bat,Scotland,2021-08-27
France,Germany,La Manga Club Bottom Ground,France,bat,Germany,2021-08-27
Germany,Netherlands,La Manga Club Bottom Ground,Netherlands,field,Netherlands,2021-08-27
Zimbabwe,Ireland,"Castle Avenue, Dublin",Ireland,field,Zimbabwe,2021-08-27
Thailand,Zimbabwe,"Takashinga Sports Club, Highfield, Harare",Zimbabwe,field,Zimbabwe,2021-08-27
Thailand,Zimbabwe,"Takashinga Sports Club, Highfield, Harare",Thailand,bat,Thailand,2021-08-28
Norway,Sweden,Guttsta Wicked Cricket Club,Sweden,field,Sweden,2021-08-29
France,Ireland,La Manga Club Bottom Ground,Ireland,field,Ireland,2021-08-29
Germany,Scotland,La Manga Club Top Ground,Scotland,field,Scotland,2021-08-29
Zimbabwe,Ireland,"Castle Avenue, Dublin",Zimbabwe,bat,Ireland,2021-08-29
Ireland,Netherlands,La Manga Club Top Ground,Netherlands,field,Ireland,2021-08-30
Thailand,Zimbabwe,"Takashinga Sports Club, Highfield, Harare",Thailand,bat,Thailand,2021-08-30
France,Scotland,La Manga Club Bottom Ground,Scotland,field,Scotland,2021-08-30
New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,Bangladesh,2021-09-01
Ireland,Zimbabwe,"Bready Cricket Club, Magheramason, Bready",Zimbabwe,field,Ireland,2021-09-01
England,New Zealand,"County Ground, Chelmsford",New Zealand,field,England,2021-09-01
South Africa,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",West Indies,field,South Africa,2021-09-02
Luxembourg,Bulgaria,"Moara Vlasiei Cricket Ground, Ilfov County",Bulgaria,field,Luxembourg,2021-09-02
Hungary,Czech Republic,"Moara Vlasiei Cricket Ground, Ilfov County",Czech Republic,field,Hungary,2021-09-02
Ireland,Zimbabwe,"Bready Cricket Club, Magheramason, Bready",Zimbabwe,field,Ireland,2021-09-02
Bangladesh,New Zealand,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,Bangladesh,2021-09-03
Romania,Czech Republic,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,Romania,2021-09-03
Bulgaria,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Bulgaria,bat,Malta,2021-09-03
Romania,Hungary,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,Romania,2021-09-03
Zimbabwe,Ireland,"Bready Cricket Club, Magheramason, Bready",Zimbabwe,bat,Zimbabwe,2021-09-04
England,New Zealand,"County Ground, Hove",New Zealand,field,New Zealand,2021-09-04
Romania,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,field,Romania,2021-09-04
South Africa,West Indies,"Sir Vivian Richards Stadium, North Sound, Antigua",South Africa,bat,West Indies,2021-09-04
Luxembourg,Hungary,"Moara Vlasiei Cricket Ground, Ilfov County",Hungary,field,Luxembourg,2021-09-04
Malta,Hungary,"Moara Vlasiei Cricket Ground, Ilfov County",Hungary,field,Hungary,2021-09-05
Romania,Luxembourg,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,Romania,2021-09-05
New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,New Zealand,2021-09-05
New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,Bangladesh,2021-09-08
New Zealand,England,"The Cooper Associates County Ground, Taunton",England,field,England,2021-09-09
Sierra Leone,Nigeria,"Botswana Cricket Association Oval 2, Gaborone",Sierra Leone,bat,Nigeria,2021-09-09
Botswana,Eswatini,"Botswana Cricket Association Oval 1, Gaborone",Botswana,bat,Botswana,2021-09-09
Mozambique,Rwanda,"Botswana Cricket Association Oval 1, Gaborone",Rwanda,field,Rwanda,2021-09-09
Namibia,Nigeria,"Botswana Cricket Association Oval 2, Gaborone",Namibia,bat,Namibia,2021-09-10
Tanzania,Zimbabwe,"Botswana Cricket Association Oval 1, Gaborone",Tanzania,bat,Zimbabwe,2021-09-10
New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,New Zealand,2021-09-10
Botswana,Mozambique,"Botswana Cricket Association Oval 1, Gaborone",Mozambique,field,Botswana,2021-09-10
Kenya,Uganda,Entebbe Cricket Oval,Kenya,bat,Kenya,2021-09-10
Spain,Germany,"Desert Springs Cricket Ground, Almeria",Germany,field,Germany,2021-09-10
South Africa,Sri Lanka,"R Premadasa Stadium, Colombo",South Africa,bat,South Africa,2021-09-10
Uganda,Nigeria,Entebbe Cricket Oval,Uganda,bat,Uganda,2021-09-11
Germany,Spain,"Desert Springs Cricket Ground, Almeria",Spain,field,Spain,2021-09-11
Nigeria,Kenya,Entebbe Cricket Oval,Nigeria,bat,Kenya,2021-09-11
Uganda,Nigeria,"Botswana Cricket Association Oval 2, Gaborone",Uganda,bat,Uganda,2021-09-11
Eswatini,Zimbabwe,"Botswana Cricket Association Oval 1, Gaborone",Eswatini,bat,Zimbabwe,2021-09-11
Tanzania,Mozambique,"Botswana Cricket Association Oval 1, Gaborone",Mozambique,field,Tanzania,2021-09-11
Germany,Spain,"Desert Springs Cricket Ground, Almeria",Germany,bat,Spain,2021-09-11
Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",Sri Lanka,bat,South Africa,2021-09-12
Rwanda,Eswatini,"Botswana Cricket Association Oval 1, Gaborone",Rwanda,bat,Rwanda,2021-09-12
Nigeria,Uganda,Entebbe Cricket Oval,Nigeria,bat,Uganda,2021-09-13
Tanzania,Rwanda,"Botswana Cricket Association Oval 1, Gaborone",Tanzania,bat,Tanzania,2021-09-13
Kenya,Nigeria,Entebbe Cricket Oval,Kenya,bat,Kenya,2021-09-13
Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",Sri Lanka,bat,South Africa,2021-09-14
Tanzania,Eswatini,"Botswana Cricket Association Oval 1, Gaborone",Tanzania,bat,Tanzania,2021-09-14
Sierra Leone,Uganda,"Botswana Cricket Association Oval 2, Gaborone",Sierra Leone,bat,Uganda,2021-09-14
Uganda,Nigeria,Entebbe Cricket Oval,Uganda,bat,Uganda,2021-09-15
Cameroon,Sierra Leone,"Botswana Cricket Association Oval 2, Gaborone",Cameroon,bat,Sierra Leone,2021-09-15
Scotland,Zimbabwe,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,bat,Scotland,2021-09-15
Zimbabwe,Rwanda,"Botswana Cricket Association Oval 2, Gaborone",Rwanda,field,Zimbabwe,2021-09-16
Nigeria,Kenya,Entebbe Cricket Oval,Nigeria,bat,Nigeria,2021-09-16
Mozambique,Eswatini,"Botswana Cricket Association Oval 1, Gaborone",Mozambique,bat,Mozambique,2021-09-16
Botswana,Tanzania,"Botswana Cricket Association Oval 1, Gaborone",Botswana,bat,Tanzania,2021-09-16
Uganda,Kenya,Entebbe Cricket Oval,Uganda,bat,Uganda,2021-09-17
Zimbabwe,Scotland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Zimbabwe,bat,Zimbabwe,2021-09-17
Zimbabwe,Uganda,"Botswana Cricket Association Oval 1, Gaborone",Zimbabwe,bat,Zimbabwe,2021-09-17
Scotland,Zimbabwe,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,bat,Zimbabwe,2021-09-19
Uganda,Tanzania,"Botswana Cricket Association Oval 1, Gaborone",Uganda,bat,Tanzania,2021-09-19
Zimbabwe,Namibia,"Botswana Cricket Association Oval 1, Gaborone",Zimbabwe,bat,Zimbabwe,2021-09-19
Estonia,Cyprus,Happy Valley Ground,Estonia,bat,Cyprus,2021-10-05
Estonia,Cyprus,Happy Valley Ground,Cyprus,field,Cyprus,2021-10-05
Cyprus,Isle of Man,Happy Valley Ground,Cyprus,bat,Isle of Man,2021-10-06
Estonia,Isle of Man,Happy Valley Ground,Estonia,bat,Isle of Man,2021-10-06
Cyprus,Isle of Man,Happy Valley Ground,Isle of Man,field,Isle of Man,2021-10-07
United Arab Emirates,Ireland,"ICC Academy, Dubai",United Arab Emirates,bat,Ireland,2021-10-07
Cyprus,Estonia,Happy Valley Ground,Cyprus,bat,Cyprus,2021-10-08
Estonia,Isle of Man,Happy Valley Ground,Isle of Man,field,Isle of Man,2021-10-08
United Arab Emirates,Ireland,"ICC Academy, Dubai",Ireland,field,United Arab Emirates,2021-10-08
Papua New Guinea,Scotland,"ICC Academy, Dubai",Papua New Guinea,bat,Scotland,2021-10-08
Scotland,Namibia,"ICC Academy, Dubai",Namibia,field,Namibia,2021-10-09
India,Australia,Carrara Oval,Australia,field,Australia,2021-10-09
Australia,India,Carrara Oval,India,field,Australia,2021-10-10
Namibia,Papua New Guinea,"ICC Academy, Dubai",Papua New Guinea,field,Namibia,2021-10-10
Ireland,United Arab Emirates,"ICC Academy, Dubai",United Arab Emirates,field,United Arab Emirates,2021-10-10
Jersey,Germany,"Desert Springs Cricket Ground, Almeria",Germany,field,Jersey,2021-10-15
Denmark,Italy,"Desert Springs Cricket Ground, Almeria",Denmark,bat,Italy,2021-10-15
Rwanda,Ghana,Gahanga International Cricket Stadium. Rwanda,Ghana,field,Ghana,2021-10-16
Malawi,Uganda,Integrated Polytechnic Regional Centre,Malawi,bat,Uganda,2021-10-16
Denmark,Germany,"Desert Springs Cricket Ground, Almeria",Denmark,bat,Germany,2021-10-16
Jersey,Italy,"Desert Springs Cricket Ground, Almeria",Jersey,bat,Jersey,2021-10-16
Seychelles,Ghana,Gahanga International Cricket Stadium. Rwanda,Seychelles,bat,Ghana,2021-10-16
Swaziland,Malawi,Integrated Polytechnic Regional Centre,Malawi,field,Malawi,2021-10-17
Scotland,Bangladesh,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,field,Scotland,2021-10-17
Uganda,Rwanda,Integrated Polytechnic Regional Centre,Uganda,bat,Uganda,2021-10-17
Papua New Guinea,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman,2021-10-17
Italy,Germany,"Desert Springs Cricket Ground, Almeria",Italy,bat,Germany,2021-10-17
Lesotho,Seychelles,Gahanga International Cricket Stadium. Rwanda,Seychelles,field,Seychelles,2021-10-17
Jersey,Denmark,"Desert Springs Cricket Ground, Almeria",Denmark,field,Jersey,2021-10-17
Netherlands,Ireland,"Zayed Cricket Stadium, Abu Dhabi",Netherlands,bat,Ireland,2021-10-18
Namibia,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,field,Sri Lanka,2021-10-18
Canada,United States of America,"Reforma Athletic Club, Naucalpan",Canada,bat,United States of America,2021-10-19
Argentina,Brazil,"Reforma Athletic Club, Naucalpan",Brazil,field,Brazil,2021-10-19
Germany,Jersey,"Desert Springs Cricket Ground, Almeria",Germany,bat,Jersey,2021-10-19
Malawi,Ghana,Gahanga International Cricket Stadium. Rwanda,Ghana,field,Ghana,2021-10-19
Lesotho,Uganda,Integrated Polytechnic Regional Centre,Lesotho,bat,Uganda,2021-10-19
Swaziland,Uganda,Integrated Polytechnic Regional Centre,Swaziland,bat,Uganda,2021-10-19
Nigeria,Sierra Leone,University of Lagos Cricket Oval,Sierra Leone,field,Sierra Leone,2021-10-19
Italy,Denmark,"Desert Springs Cricket Ground, Almeria",Denmark,field,Italy,2021-10-19
Bangladesh,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,bat,Bangladesh,2021-10-19
Scotland,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,bat,Scotland,2021-10-19
Italy,Jersey,"Desert Springs Cricket Ground, Almeria",Jersey,field,Jersey,2021-10-20
Sri Lanka,Ireland,"Zayed Cricket Stadium, Abu Dhabi",Ireland,field,Sri Lanka,2021-10-20
Rwanda,Lesotho,Integrated Polytechnic Regional Centre,Rwanda,bat,Rwanda,2021-10-20
Germany,Denmark,"Desert Springs Cricket Ground, Almeria",Denmark,field,Germany,2021-10-20
Swaziland,Ghana,Integrated Polytechnic Regional Centre,Ghana,field,Ghana,2021-10-20
Swaziland,Seychelles,Gahanga International Cricket Stadium. Rwanda,Swaziland,bat,Seychelles,2021-10-20
Netherlands,Namibia,"Zayed Cricket Stadium, Abu Dhabi",Namibia,field,Namibia,2021-10-20
Malawi,Seychelles,Gahanga International Cricket Stadium. Rwanda,Malawi,bat,Malawi,2021-10-20
Bangladesh,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,bat,Bangladesh,2021-10-21
Oman,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,bat,Scotland,2021-10-21
Uganda,Ghana,Gahanga International Cricket Stadium. Rwanda,Ghana,field,Uganda,2021-10-21
Italy,Germany,"Desert Springs Cricket Ground, Almeria",Germany,field,Italy,2021-10-21
Nigeria,Sierra Leone,University of Lagos Cricket Oval,Sierra Leone,field,Nigeria,2021-10-21
Denmark,Jersey,"Desert Springs Cricket Ground, Almeria",Denmark,bat,Jersey,2021-10-21
Malta,Gibraltar,Marsa Sports Club,Malta,bat,Malta,2021-10-21
Swaziland,Rwanda,Gahanga International Cricket Stadium. Rwanda,Swaziland,bat,Rwanda,2021-10-22
Malawi,Rwanda,Gahanga International Cricket Stadium. Rwanda,Malawi,bat,Malawi,2021-10-22
Uganda,Seychelles,Integrated Polytechnic Regional Centre,Uganda,bat,Uganda,2021-10-22
Ireland,Namibia,Sharjah Cricket Stadium,Ireland,bat,Namibia,2021-10-22
Netherlands,Sri Lanka,Sharjah Cricket Stadium,Sri Lanka,field,Sri Lanka,2021-10-22
Bulgaria,Switzerland,Marsa Sports Club,Bulgaria,bat,Switzerland,2021-10-22
Gibraltar,Switzerland,Marsa Sports Club,Gibraltar,bat,Switzerland,2021-10-22
South Africa,Australia,"Zayed Cricket Stadium, Abu Dhabi",Australia,field,Australia,2021-10-23
